order_id,customer_id,order_date,status,amount
O00106,C0024,2024-04-28,completed,670.0
O00107,C0025,2023-07-16,completed,4513.75
O00108,C0025,2023-11-09,returned,3360.0
O00109,C0025,2024-03-31,completed,535.0
O00110,C0025,2024-07-02,completed,264.5
O00111,C0026,2023-06-05,returned,1100.55
O00112,C0026,2023-06-18,completed,4567.8
O00113,C0026,2023-08-07,cancelled,463.45
O00114,C0026,2023-12-26,cancelled,182.0
O00115,C0026,2024-03-26,returned,2148.0
O00116,C0026,2024-09-16,returned,525.0
O00117,C0026,2024-10-05,completed,505.0
O00118,C0026,2024-10-27,cancelled,215.0
O00119,C0027,2023-03-09,returned,300.0
O00120,C0027,2023-06-09,completed,345.0
O00121,C0027,2023-11-14,completed,126.0
O00122,C0027,2023-12-01,cancelled,2874.2
O00123,C0027,2024-02-05,completed,1005.0
O00124,C0027,2024-07-03,completed,529.0
O00125,C0027,2024-08-23,cancelled,155.25
O00126,C0027,2024-10-11,completed,89.0
O00127,C0027,2024-10-20,completed,170.0
O00128,C0027,2024-10-27,completed,657.0
O00129,C0027,2024-11-28,returned,735.0
O00130,C0028,2023-11-04,completed,182.0
O00131,C0028,2024-11-30,completed,1047.2
O00132,C0029,2023-09-06,completed,370.0
O00133,C0029,2024-04-20,completed,180.0
O00134,C0029,2024-09-29,completed,240.0
O00135,C0030,2023-04-17,cancelled,220.0
O00136,C0030,2023-07-30,completed,172.5
O00137,C0031,2024-01-17,returned,120.0
O00138,C0031,2024-12-18,completed,868.0
O00139,C0032,2023-11-22,completed,399.0
O00140,C0032,2024-04-08,completed,90.0
O00141,C0033,2024-01-13,returned,823.0
O00142,C0033,2024-04-25,cancelled,90.0
O00143,C0033,2024-06-15,completed,80.5
O00144,C0033,2024-09-19,returned,70.0
O00145,C0034,2024-02-19,returned,1049.0
O00146,C0035,2023-03-28,completed,55.0
O00147,C0035,2023-05-14,returned,328.0
O00148,C0035,2023-07-22,completed,874.0
O00149,C0035,2023-09-23,returned,410.0
O00150,C0035,2024-01-17,returned,1470.0
O00151,C0035,2024-02-15,completed,735.0
O00152,C0035,2024-08-19,cancelled,212.75
O00153,C0035,2024-08-23,completed,494.5
O00154,C0035,2024-10-07,completed,1510.0
O00155,C0035,2024-10-22,cancelled,175.0
O00156,C0035,2024-12-03,completed,427.0
O00157,C0036,2023-06-30,completed,713.0
O00158,C0037,2024-07-30,completed,2087.25
O00159,C0038,2023-08-07,completed,1190.25
O00160,C0038,2023-09-14,completed,185.0
O00161,C0038,2023-09-28,completed,125.0
O00162,C0038,2023-11-06,completed,231.0
O00163,C0038,2023-11-26,returned,126.0
O00164,C0038,2023-12-08,cancelled,2601.2
O00165,C0038,2023-12-14,completed,336.0
O00166,C0038,2024-01-13,completed,195.0
O00167,C0038,2024-06-11,completed,4318.25
O00168,C0038,2024-06-28,returned,767.05
O00169,C0038,2024-07-23,completed,494.5
O00170,C0039,2023-07-17,completed,46.0
O00171,C0039,2023-10-24,completed,275.0
O00172,C0039,2024-04-17,completed,330.0
O00173,C0039,2024-05-21,cancelled,855.0
O00174,C0040,2023-04-09,returned,285.0
O00175,C0040,2024-04-09,cancelled,1385.0
O00176,C0041,2024-05-15,completed,120.0
O00177,C0041,2024-11-07,completed,697.2
O00178,C0042,2023-08-25,returned,342.7
O00179,C0042,2023-09-18,cancelled,820.0
O00180,C0042,2023-09-30,cancelled,1019.0
O00181,C0042,2023-11-24,completed,3929.8
O00182,C0042,2024-06-09,completed,445.05
O00183,C0042,2024-12-28,completed,429.8
O00184,C0043,2023-04-26,completed,390.0
O00185,C0043,2023-06-03,completed,204.7
O00186,C0043,2024-02-29,returned,675.0
O00187,C0044,2023-01-21,completed,1908.0
O00188,C0044,2023-02-20,completed,1190.0
O00189,C0044,2023-09-01,completed,40.0
O00190,C0044,2023-10-03,completed,390.0
O00191,C0044,2023-10-15,completed,134.0
O00192,C0044,2023-11-07,completed,966.0
O00193,C0044,2023-11-15,completed,336.0
O00194,C0044,2023-12-12,cancelled,880.6
O00195,C0044,2024-01-17,completed,1739.0
O00196,C0044,2024-05-01,completed,415.0
O00197,C0044,2024-05-18,completed,3180.0
O00198,C0044,2024-12-08,completed,1341.2
O00199,C0044,2024-12-13,returned,5040.0
O00200,C0045,2023-11-02,completed,1362.2
O00201,C0045,2024-12-01,completed,1762.6
O00202,C0046,2023-01-27,returned,415.0
O00203,C0047,2024-05-21,completed,804.0
O00204,C0048,2023-11-07,completed,308.0
O00205,C0048,2024-01-23,completed,583.0
O00206,C0048,2024-04-11,cancelled,85.0
O00207,C0048,2024-11-26,cancelled,249.2
O00208,C0049,2023-05-21,returned,3220.0
O00209,C0049,2023-06-04,completed,97.75
O00210,C0049,2023-07-25,completed,264.5
O00211,C0049,2023-12-17,cancelled,406.0
O00212,C0050,2024-02-26,completed,105.0
O00213,C0050,2024-09-27,completed,110.0
O00214,C0051,2023-02-16,completed,335.0
O00215,C0051,2023-03-08,completed,235.0
O00216,C0051,2023-06-21,completed,1154.6
O00217,C0052,2024-01-11,completed,719.0
O00218,C0052,2024-12-29,completed,98.0
O00219,C0053,2023-06-06,completed,327.75
O00220,C0053,2023-09-16,completed,380.0
O00221,C0053,2024-04-30,cancelled,95.0
O00222,C0053,2024-12-19,returned,546.0
O00223,C0054,2023-02-10,cancelled,655.0
O00224,C0054,2023-06-14,cancelled,2671.45
O00225,C0055,2023-09-28,completed,65.0
O00226,C0055,2024-04-20,completed,280.0
O00227,C0056,2023-04-06,returned,518.0
O00228,C0056,2023-04-27,completed,55.0
O00229,C0056,2023-07-07,completed,1063.75
O00230,C0056,2023-10-02,completed,220.0
O00231,C0056,2023-12-03,returned,630.0
O00232,C0056,2023-12-17,completed,147.0
O00233,C0056,2024-01-02,cancelled,290.0
O00234,C0056,2024-01-17,cancelled,165.0
O00235,C0056,2024-03-24,completed,502.0
O00236,C0056,2024-09-28,completed,609.0
O00237,C0057,2023-10-21,completed,745.0
O00238,C0057,2024-03-16,completed,55.0
O00239,C0057,2024-04-10,cancelled,267.0
O00240,C0057,2024-12-12,cancelled,644.0
O00241,C0058,2023-04-10,completed,225.0
O00242,C0058,2023-04-27,completed,620.0
O00243,C0058,2023-12-06,returned,168.0
O00244,C0058,2024-01-08,completed,260.0
O00245,C0058,2024-04-08,completed,785.0
O00246,C0058,2024-04-10,completed,630.0
O00247,C0058,2024-04-29,cancelled,849.0
O00248,C0058,2024-07-27,completed,189.75
O00249,C0058,2024-09-06,cancelled,495.0
O00250,C0058,2024-09-26,returned,2218.0
O00251,C0058,2024-11-03,cancelled,1297.8
O00252,C0059,2023-05-16,cancelled,585.0
O00253,C0059,2023-07-02,returned,1608.85
O00254,C0059,2023-10-25,completed,60.0
O00255,C0059,2023-12-20,completed,126.0
O00256,C0059,2024-10-27,completed,2520.0
O00257,C0059,2024-11-19,cancelled,217.0
O00258,C0059,2024-12-04,completed,364.0
O00259,C0059,2024-12-28,returned,700.0
O00260,C0060,2023-10-21,returned,505.0
O00261,C0060,2023-10-24,cancelled,150.0
O00262,C0060,2024-02-01,completed,2338.0
O00263,C0060,2024-10-16,completed,90.0
O00264,C0060,2024-11-28,cancelled,504.0
O00265,C0060,2024-12-13,cancelled,791.0
O00266,C0061,2024-10-20,completed,558.0
O00267,C0062,2023-01-10,returned,480.0
O00268,C0062,2023-04-28,completed,2992.0
O00269,C0062,2023-12-21,completed,364.0
O00270,C0062,2024-05-01,cancelled,635.0
O00271,C0062,2024-06-27,cancelled,69.0
O00272,C0062,2024-07-28,completed,410.55
O00273,C0062,2024-10-26,completed,1235.0
O00274,C0062,2024-11-15,completed,126.0
O00275,C0063,2023-01-18,completed,180.0
O00276,C0063,2023-09-22,completed,35.0
O00277,C0063,2023-11-20,completed,399.0
O00278,C0063,2024-02-02,completed,190.0
O00279,C0063,2024-02-03,returned,2730.0
O00280,C0063,2024-02-19,completed,675.0
O00281,C0063,2024-02-22,completed,120.0
O00282,C0063,2024-03-19,completed,450.0
O00283,C0063,2024-04-06,cancelled,435.0
O00284,C0063,2024-10-07,cancelled,90.0
O00285,C0063,2024-11-20,completed,189.0
O00286,C0064,2023-09-03,completed,980.0
O00287,C0064,2023-09-06,completed,685.0
O00288,C0064,2023-09-09,completed,583.0
O00289,C0064,2023-10-05,completed,270.0
O00290,C0064,2023-10-07,cancelled,490.0
O00291,C0064,2023-11-05,completed,373.8
O00292,C0064,2024-01-11,completed,3015.0
O00293,C0064,2024-01-15,completed,660.0
O00294,C0064,2024-02-22,returned,657.0
O00295,C0064,2024-03-09,cancelled,390.0
O00296,C0064,2024-04-13,completed,2815.0
O00297,C0064,2024-04-19,completed,589.0
O00298,C0064,2024-05-30,completed,529.0
O00299,C0064,2024-06-26,returned,678.5
O00300,C0064,2024-11-06,cancelled,842.8
O00301,C0065,2023-09-20,completed,340.0
O00302,C0065,2023-11-02,returned,168.0
O00303,C0065,2023-12-04,cancelled,1426.6
O00304,C0065,2023-12-12,completed,630.0
O00305,C0065,2024-01-11,cancelled,267.0
O00306,C0065,2024-02-05,completed,135.0
O00307,C0065,2024-02-24,returned,689.0
O00308,C0065,2024-04-16,completed,295.0
O00309,C0065,2024-07-08,cancelled,103.5
O00310,C0065,2024-12-11,completed,5040.0
O00311,C0066,2023-06-03,completed,437.0
O00312,C0066,2024-09-12,cancelled,450.0
O00313,C0067,2024-11-25,returned,973.0
O00314,C0068,2024-03-11,completed,868.0
O00315,C0069,2023-07-11,completed,1058.0
O00316,C0069,2023-11-01,completed,690.2
O00317,C0069,2024-12-17,completed,238.0
O00318,C0069,2024-12-20,completed,4356.8
O00319,C0070,2023-04-13,returned,280.0
O00320,C0070,2023-06-15,completed,149.5
O00321,C0070,2023-08-08,cancelled,1190.25
O00322,C0070,2024-06-04,cancelled,437.0
O00323,C0071,2023-02-04,completed,55.0
O00324,C0071,2023-02-06,completed,520.0
O00325,C0071,2023-06-23,cancelled,276.0
O00326,C0071,2023-07-19,cancelled,258.75
O00327,C0071,2023-08-26,completed,598.0
O00328,C0071,2024-01-04,cancelled,225.0
O00329,C0071,2024-06-06,returned,253.0
O00330,C0071,2024-06-12,completed,500.25
O00331,C0071,2024-09-05,cancelled,70.0
O00332,C0071,2024-09-21,completed,380.0
O00333,C0071,2024-11-21,returned,1155.0
O00334,C0071,2024-12-16,returned,336.0
O00335,C0072,2023-07-11,returned,414.0
O00336,C0072,2023-08-09,completed,1106.3
O00337,C0072,2023-08-22,cancelled,2314.95
O00338,C0072,2023-09-28,cancelled,220.0
O00339,C0072,2024-04-20,completed,285.0
O00340,C0073,2023-09-23,completed,470.0
O00341,C0073,2024-01-06,returned,350.0
O00342,C0073,2024-09-19,completed,2827.0
O00343,C0074,2023-01-10,returned,2258.0
O00344,C0074,2023-05-30,cancelled,165.0
O00345,C0074,2023-06-03,completed,103.5
O00346,C0074,2023-06-30,returned,195.5
O00347,C0074,2023-07-20,completed,339.25
O00348,C0074,2024-01-26,completed,567.0
O00349,C0074,2024-04-29,cancelled,395.0
O00350,C0075,2023-06-30,completed,2579.45
O00351,C0075,2024-05-05,cancelled,613.0
O00352,C0075,2024-07-11,completed,1037.3
O00353,C0075,2024-12-29,completed,3900.4
O00354,C0076,2024-02-05,completed,2157.0
O00355,C0077,2023-03-28,completed,1024.0
O00356,C0077,2023-08-23,completed,497.95
O00357,C0077,2023-11-13,returned,280.0
O00358,C0077,2024-02-04,cancelled,300.0
O00359,C0077,2024-11-01,completed,854.0
O00360,C0078,2023-01-01,completed,575.0
O00361,C0078,2023-05-20,cancelled,170.0
O00362,C0078,2023-12-19,cancelled,329.0
O00363,C0078,2024-06-19,completed,707.25
O00364,C0079,2023-07-19,completed,2067.7
O00365,C0079,2024-03-05,cancelled,1545.0
O00366,C0080,2023-05-28,completed,560.0
O00367,C0080,2023-08-20,completed,102.35
O00368,C0080,2023-10-21,completed,560.0
O00369,C0080,2024-01-13,completed,165.0
O00370,C0080,2024-08-10,completed,4651.75
O00371,C0081,2024-02-14,completed,630.0
O00372,C0081,2024-05-03,completed,500.0
O00373,C0082,2023-01-16,completed,165.0
O00374,C0082,2023-05-03,returned,300.0
O00375,C0082,2023-06-21,completed,477.25
O00376,C0082,2023-10-10,completed,899.0
O00377,C0082,2023-11-29,completed,637.0
O00378,C0082,2024-02-10,completed,865.0
O00379,C0082,2024-08-21,returned,92.0
O00380,C0083,2023-07-01,completed,5002.5
O00381,C0083,2023-10-03,completed,180.0
O00382,C0083,2024-10-16,cancelled,840.0
O00383,C0083,2024-11-09,completed,784.0
O00384,C0084,2023-02-02,returned,420.0
O00385,C0084,2023-02-02,completed,918.0
O00386,C0084,2023-04-12,completed,130.0
O00387,C0084,2023-04-20,cancelled,70.0
O00388,C0084,2023-07-02,completed,362.25
O00389,C0084,2023-07-16,cancelled,822.25
O00390,C0084,2023-07-26,returned,414.0
O00391,C0084,2024-05-12,completed,2208.0
O00392,C0084,2024-08-07,completed,580.75
O00393,C0084,2024-10-19,returned,435.0
O00394,C0085,2023-01-01,completed,315.0
O00395,C0085,2024-02-11,completed,2667.0
O00396,C0086,2023-04-07,completed,1229.0
O00397,C0086,2023-06-08,completed,1075.25
O00398,C0086,2024-08-07,cancelled,207.0
O00399,C0086,2024-08-08,completed,707.25
O00400,C0087,2024-11-16,returned,133.0
O00401,C0088,2023-12-01,completed,518.0
O00402,C0088,2024-05-29,cancelled,90.0
O00403,C0089,2023-06-11,returned,92.0
O00404,C0089,2024-02-26,completed,3047.0
O00405,C0090,2024-07-28,cancelled,276.0
O00406,C0091,2023-04-26,returned,315.0
O00407,C0092,2023-05-30,returned,130.0
O00408,C0092,2024-09-30,completed,300.0
O00409,C0093,2023-01-15,completed,3730.0
O00410,C0093,2023-12-18,cancelled,651.0
O00411,C0094,2023-06-01,completed,373.75
O00412,C0094,2023-10-09,completed,340.0
O00413,C0094,2024-01-04,returned,175.0
O00414,C0094,2024-10-08,completed,543.0
O00415,C0095,2023-01-19,completed,405.0
O00416,C0095,2023-06-10,completed,1845.75
O00417,C0095,2023-11-09,returned,861.0
O00418,C0095,2023-12-08,completed,875.0
O00419,C0095,2023-12-22,completed,105.0
O00420,C0095,2024-02-07,completed,295.0
O00421,C0095,2024-05-16,cancelled,300.0
O00422,C0095,2024-12-01,completed,6126.4
O00423,C0096,2023-04-20,completed,3710.0
O00424,C0096,2023-06-05,cancelled,258.75
O00425,C0096,2023-07-12,completed,2503.55
O00426,C0096,2023-10-08,completed,1290.0
O00427,C0097,2023-08-26,completed,1058.0
O00428,C0097,2023-12-18,cancelled,112.0
O00429,C0097,2024-01-15,returned,89.0
O00430,C0097,2024-09-11,cancelled,1605.0
O00431,C0097,2024-11-02,returned,763.0
O00432,C0098,2024-04-19,returned,35.0
O00433,C0098,2024-10-23,completed,235.0
O00434,C0099,2023-04-03,completed,2732.0
O00435,C0099,2023-07-26,returned,638.25
O00436,C0099,2023-09-14,completed,390.0
O00437,C0099,2024-04-10,completed,110.0
O00438,C0100,2023-11-04,completed,182.0
O00439,C0100,2024-10-15,completed,1530.0
O00440,C0101,2024-10-13,returned,960.0
O00441,C0101,2024-11-05,completed,1342.6
O00442,C0102,2023-02-20,cancelled,125.0
O00443,C0102,2023-03-31,completed,700.0
O00444,C0102,2023-04-22,completed,1219.0
O00445,C0102,2023-06-15,cancelled,3101.55
O00446,C0102,2023-07-02,cancelled,379.5
O00447,C0102,2023-10-19,cancelled,672.0
O00448,C0102,2023-12-06,completed,700.0
O00449,C0102,2024-03-02,completed,1798.0
O00450,C0102,2024-09-17,completed,185.0
O00451,C0102,2024-11-07,completed,5264.0
O00452,C0102,2024-11-19,completed,756.0
O00453,C0102,2024-12-09,cancelled,3336.2
O00454,C0103,2024-01-21,completed,585.0
O00455,C0104,2023-05-30,cancelled,2480.0
O00456,C0104,2024-02-03,completed,2685.0
O00457,C0104,2024-03-11,cancelled,175.0
O00458,C0104,2024-05-30,completed,575.0
O00459,C0104,2024-07-19,completed,143.75
O00460,C0104,2024-09-17,completed,85.0
O00461,C0104,2024-10-03,returned,525.0
O00462,C0105,2023-04-11,cancelled,2535.0
O00463,C0106,2023-02-15,cancelled,75.0
O00464,C0106,2023-11-15,completed,2016.0
O00465,C0107,2023-06-21,completed,103.5
O00466,C0107,2023-06-24,cancelled,425.5
O00467,C0107,2023-07-26,completed,373.75
O00468,C0107,2023-08-04,completed,63.25
O00469,C0107,2023-11-30,returned,814.8
O00470,C0107,2023-12-01,completed,567.0
O00471,C0107,2024-01-16,cancelled,495.0
O00472,C0107,2024-05-20,completed,770.0
O00473,C0108,2024-11-12,completed,3598.0
O00474,C0108,2024-12-17,returned,448.0
O00475,C0109,2023-03-14,returned,260.0
O00476,C0109,2023-11-06,completed,455.0
O00477,C0109,2023-11-30,cancelled,441.0
O00478,C0109,2024-02-15,cancelled,1739.0
O00479,C0109,2024-04-17,completed,105.0
O00480,C0109,2024-06-29,returned,851.0
O00481,C0109,2024-07-23,completed,333.5
O00482,C0109,2024-08-27,cancelled,937.25
O00483,C0109,2024-10-27,completed,270.0
O00484,C0110,2023-03-05,completed,3600.0
O00485,C0110,2023-10-29,completed,89.0
O00486,C0111,2023-11-22,returned,700.0
O00487,C0111,2024-02-08,returned,184.0
O00488,C0111,2024-10-02,completed,60.0
O00489,C0111,2024-12-29,returned,3021.2
O00490,C0112,2024-04-10,returned,3745.0
O00491,C0112,2024-06-05,cancelled,408.25
O00492,C0113,2023-03-23,cancelled,450.0
O00493,C0113,2023-05-26,completed,480.0
O00494,C0113,2024-05-08,cancelled,265.0
O00495,C0113,2024-12-08,completed,476.0
O00496,C0114,2023-01-28,completed,6386.0
O00497,C0114,2023-03-20,completed,525.0
O00498,C0114,2023-03-26,completed,310.0
O00499,C0114,2023-05-10,returned,95.0
O00500,C0114,2023-05-16,cancelled,455.0
O00501,C0114,2023-09-16,returned,740.0
O00502,C0114,2023-10-12,returned,5576.0
O00503,C0114,2023-10-21,completed,450.0
O00504,C0114,2024-05-11,completed,885.0
O00505,C0114,2024-06-01,returned,626.75
O00506,C0114,2024-09-22,completed,199.0
O00507,C0114,2024-10-01,cancelled,70.0
O00508,C0115,2023-02-04,completed,450.0
O00509,C0115,2023-07-17,completed,40.25
O00510,C0116,2024-01-20,cancelled,330.0
O00511,C0117,2024-10-16,returned,310.0
O00512,C0118,2023-04-25,completed,370.0
O00513,C0118,2023-08-24,completed,448.5
O00514,C0118,2023-11-14,completed,1680.0
O00515,C0118,2023-11-21,cancelled,5670.0
O00516,C0118,2024-01-29,completed,815.0
O00517,C0118,2024-03-20,returned,579.0
O00518,C0118,2024-03-26,completed,585.0
O00519,C0118,2024-05-19,cancelled,655.0
O00520,C0119,2023-03-28,completed,135.0
O00521,C0119,2023-04-20,cancelled,780.0
O00522,C0119,2023-07-14,completed,470.35
O00523,C0119,2023-07-15,completed,3688.05
O00524,C0119,2023-11-03,cancelled,2044.0
O00525,C0119,2024-01-03,completed,580.0
O00526,C0119,2024-02-04,completed,85.0
O00527,C0119,2024-03-24,cancelled,65.0
O00528,C0119,2024-05-13,completed,810.0
O00529,C0119,2024-10-07,returned,1009.0
O00530,C0119,2024-10-09,cancelled,1049.0
O00531,C0119,2024-11-07,completed,357.0
O00532,C0119,2024-12-06,cancelled,2338.0
O00533,C0119,2024-12-13,cancelled,518.0
O00534,C0120,2023-09-02,completed,270.0
O00535,C0120,2024-02-26,returned,120.0
O00536,C0121,2023-05-01,completed,673.0
O00537,C0121,2023-07-16,completed,2412.7
O00538,C0121,2023-08-30,completed,552.0
O00539,C0121,2024-06-26,completed,212.75
O00540,C0122,2023-06-11,completed,856.75
O00541,C0123,2023-04-23,completed,335.0
O00542,C0123,2023-08-24,completed,195.5
O00543,C0124,2024-01-10,cancelled,335.0
O00544,C0125,2023-04-24,completed,525.0
O00545,C0125,2023-05-20,cancelled,328.0
O00546,C0125,2023-06-25,cancelled,361.1
O00547,C0125,2023-10-15,returned,400.0
O00548,C0125,2023-12-18,completed,2576.0
O00549,C0125,2024-03-04,returned,85.0
O00550,C0125,2024-04-14,completed,70.0
O00551,C0125,2024-04-21,completed,195.0
O00552,C0126,2024-12-21,returned,154.0
O00553,C0127,2023-06-07,completed,419.75
O00554,C0127,2023-07-09,completed,552.0
O00555,C0127,2023-08-17,cancelled,3187.8
O00556,C0127,2023-12-12,returned,336.0
O00557,C0127,2024-01-04,completed,630.0
O00558,C0127,2024-03-08,returned,255.0
O00559,C0127,2024-04-04,cancelled,265.0
O00560,C0127,2024-05-11,returned,150.0
O00561,C0127,2024-06-19,completed,2067.7
O00562,C0127,2024-07-04,completed,686.55
O00563,C0127,2024-08-15,completed,506.0
O00564,C0127,2024-09-23,returned,95.0
O00565,C0127,2024-11-30,completed,361.2
O00566,C0127,2024-12-12,cancelled,987.0
O00567,C0128,2023-05-16,completed,220.0
O00568,C0128,2023-11-08,completed,434.0
O00569,C0128,2024-08-03,completed,172.5
O00570,C0129,2023-05-10,completed,2525.0
O00571,C0129,2023-11-21,completed,805.0
O00572,C0129,2024-03-27,completed,2505.0
O00573,C0129,2024-08-11,completed,925.75
O00574,C0130,2023-12-13,completed,4573.8
O00575,C0130,2024-12-06,completed,756.0
O00576,C0131,2023-01-24,completed,650.0
O00577,C0131,2023-03-27,returned,2735.0
O00578,C0131,2023-07-20,completed,276.0
O00579,C0131,2023-08-16,completed,339.25
O00580,C0131,2023-10-12,returned,179.0
O00581,C0131,2024-04-01,completed,435.0
O00582,C0131,2024-07-05,returned,149.5
O00583,C0131,2024-11-24,returned,837.2
O00584,C0132,2023-06-07,completed,465.75
O00585,C0133,2023-08-09,returned,2898.0
O00586,C0133,2024-04-09,cancelled,387.0
O00587,C0134,2024-06-05,cancelled,102.35
O00588,C0135,2023-05-13,completed,405.0
O00589,C0135,2023-05-18,completed,248.0
O00590,C0135,2023-08-10,completed,92.0
O00591,C0135,2023-09-08,completed,1798.0
O00592,C0135,2023-12-29,completed,448.0
O00593,C0135,2024-01-15,cancelled,55.0
O00594,C0135,2024-01-17,completed,610.0
O00595,C0135,2024-03-23,completed,585.0
O00596,C0135,2024-03-24,completed,1235.0
O00597,C0135,2024-03-28,completed,215.0
O00598,C0135,2024-05-27,completed,340.0
O00599,C0135,2024-07-09,completed,224.25
O00600,C0135,2024-09-17,cancelled,170.0
O00601,C0136,2023-04-09,completed,450.0
O00602,C0136,2023-05-07,completed,612.0
O00603,C0136,2023-07-09,cancelled,517.5
O00604,C0136,2023-07-24,completed,230.0
O00605,C0136,2023-07-30,completed,448.5
O00606,C0136,2024-08-24,returned,92.0
O00607,C0136,2024-09-08,completed,375.0
O00608,C0136,2024-11-17,completed,623.0
O00609,C0137,2023-10-02,completed,1565.0
O00610,C0137,2023-12-16,cancelled,2517.2
O00611,C0137,2024-01-23,returned,35.0
O00612,C0137,2024-03-22,completed,275.0
O00613,C0137,2024-03-29,returned,475.0
O00614,C0137,2024-04-20,returned,2118.0
O00615,C0137,2024-07-04,completed,2800.25
O00616,C0137,2024-07-27,completed,166.75
